,id,name,address,crossStreet,lat,lng,postalCode,cc,city,state,country,category_id,category_name,venuePage,neighborhood
0,4b2ba12cf964a52073b824e3,Kroger,3305 Dallas Pkwy,at W. Parker Rd.,33.04759423928853,-96.83198601007462,75093,US,Plano,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
1,4bafc188f964a520281e3ce3,Tom Thumb,3945 Legacy Dr,Coit,33.0740689,-96.7706223,75023,US,Plano,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
2,4b940684f964a520456234e3,Tom Thumb,4848 Preston Rd,at Lebanon Rd.,33.118959,-96.8036377,75034,US,Frisco,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
3,5028140ce4b07270849f6fe8,Trader Joe's,2400 Preston Rd,at Park Blvd.,33.029319892351225,-96.79331933155652,75093,US,Plano,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
4,4b8efa9ff964a520774233e3,Kroger,4851 Legacy Dr,at Lebanon Rd.,33.11732115315503,-96.84130707015946,75034,US,Frisco,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
5,4b4e27c2f964a5204be326e3,Walmart Supercenter,8801 Ohio Dr,,33.09706943212229,-96.79933386929854,75024,US,Plano,TX,United States,52f2ab2ebcbc57f1066b8b42,Big Box Store,,
6,4a73a44ff964a5200cdd1fe3,Market Street,1929 Preston Rd,at W Park Blvd.,33.02586512450553,-96.7993875146567,75093,US,Plano,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
7,4b52424ff964a520497327e3,Kroger,9700 Coit Rd,at 121/Sam Rayburn Tollway,33.1096989,-96.7663797,75025,US,Plano,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
8,52181d62498ef291f6aaf06d,Walmart Neighborhood Market,3312 Preston Road,,33.043613662002606,-96.79250050072801,75093,US,Plano,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
9,4b01b981f964a520df4422e3,Walmart Neighborhood Market,8040 Independence Pkwy,,33.08701684288116,-96.7485034381138,75025,US,Plano,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
10,552887f6498e2d7ce01930a6,Kroger Marketplace,4620 State Highway 121,,33.0622422,-96.8890778,75056,US,Lewisville,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
11,4b0da879f964a520554d23e3,Kroger,7100 Independence Pkwy,at Legacy Dr.,33.0734101,-96.7486109,75025,US,Plano,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
12,4b4d105bf964a520aac926e3,Kroger,7500 Preston Rd,at Stonebrook Pkwy/Rolater Rd,33.1406354,-96.8028388,75034,US,Frisco,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
13,4b64b173f964a520e3c82ae3,Tom Thumb,3100 Independence Pkwy,Parker,33.0390418,-96.7523111,75075,US,Plano,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
14,5a0c37eb69e77b31cb2cbd43,Walmart Garden Center,8801 Ohio Dr,,33.097285,-96.799642,75024,US,Plano,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
15,4a6a1b96f964a520a2cc1fe3,Walmart Supercenter,1700 Dallas Pkwy,,33.02470740759119,-96.82831693008892,75093,US,Plano,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
16,4c30f943ed37a59314b06903,Kroger,2925 Custer Rd,Parker Rd.,33.0389452,-96.7348536,75075,US,Plano,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
17,5a81e5e3db1d81459cd84e2f,Walmart Supercenter,16066 State Highway 121,,33.12803436843613,-96.73616637074198,75035,US,Frisco,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
18,4b05da23f964a52066e422e3,Kroger,3205 Main St,at Teel Pkwy,33.151071259401775,-96.86175854520116,75034,US,Frisco,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
19,4aede734f964a5200ad021e3,Walmart Supercenter,6000 Coit Rd,,33.05547193369571,-96.76786793458808,75023,US,Plano,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
